customer_name,hostname,family,ndi,cbp_cnt,fn_cnt,eox_cnt,psirt_cnt,ccf_cnt,cna_cnt,slg_cnt,siar_cnt
BOA,AZCDRFD-FDR-STAR-RTR1,1800,0.177551157,2,1,0,1,0,0,0,0
BOA,AZCDRFD-FDR-STAR-RTR2,1800,0.177551157,2,1,0,1,0,0,0,0
BOA,AZCDRGR01R1,1800,0.177551157,0,1,0,0,0,0,0,0
BOA,AZCDROO01E1,C3560,0.22353965,0,1,0,0,0,0,0,0
BOA,AZCDROO01R1,3800,0.233436891,0,1,0,0,0,0,0,0
BOA,AZCDRWF01AGR01B,7600,0.352786394,1,2,0,0,0,0,0,0
BOA,AZCDRWF01AGR01S,7600,0.352786394,1,2,0,0,0,0,0,0
BOA,AZCDRWF01FWAS01,3800,0.233436891,0,1,0,0,0,0,0,0
BOA,AZCDRWF01FWAS02,3800,0.233436891,1,1,0,0,0,0,0,0
BOA,AZCDRWF01FWE52,C3750,0.333071693,1,1,0,0,0,0,0,0
BOA,AZCDRWF01FWR52D,1800,0.177551157,37,1,0,0,0,0,0,0
BOA,AZCDRWR01IDE01,C3560,0.22353965,0,1,0,0,0,0,0,0
BOA,AZCDRWR01R01,3800,0.233436891,0,1,0,0,0,0,0,0
BOA,AZCFETD01E1,C3560,0.22353965,0,1,0,0,0,0,0,0
BOA,AZCFETD01R1,3800,0.233436891,0,1,0,0,0,0,0,0
BOA,AZCGEFL01E1,C3560,0.22353965,0,1,0,0,0,0,0,0
BOA,AZCWDMS01E1,C3560,0.22353965,0,1,0,0,0,0,0,0
BOA,AZCWDMS01R1,3800,0.233436891,0,1,0,0,0,0,0,0
BOA,AZDGSGA01E1,C3560,0.22353965,0,1,0,0,0,0,0,0
BOA,AZDGSGA01R1,3800,0.233436891,0,1,0,0,0,0,0,0
BOA,AZFNHES01E1,C3560,0.22353965,0,1,0,0,0,0,0,0
BOA,AZFNHES01R1,3800,0.233436891,0,1,0,0,0,0,0,0
BOA,AZFSFAU01R1,1800,0.177551157,0,1,0,0,0,0,0,0
BOA,AZFSFEC01R1,1800,0.177551157,0,1,0,0,0,0,0,0
BOA,AZFSFHE01E1,C3560,0.22353965,0,1,0,0,0,0,0,0
BOA,AZFSFHE01R1,3800,0.233436891,0,1,0,0,0,0,0,0
BOA,AZFSFSB02IDE01,C3560,0.22353965,0,1,0,0,0,0,0,0
BOA,AZFSFSB02R01,3800,0.233436891,0,1,0,0,0,0,0,0
BOA,AZFSFSW01E1,C3560,0.22353965,0,1,0,0,0,0,0,0
BOA,AZFSFSW01R1,3800,0.233436891,0,1,0,0,0,0,0,0
BOA,AZFTMSI01E1,C3560,0.22353965,1,1,0,0,0,0,0,0
BOA,AZFTMSI01R1,3800,0.233436891,0,1,0,0,0,0,0,0
BOA,AZGBEES01E1,C3560,0.22353965,0,1,0,0,0,0,0,0
BOA,AZGBEES01R1,3800,0.233436891,0,1,0,0,0,0,0,0
BOA,AZGBTER01E1,C3560,0.22353965,0,1,0,0,0,0,0,0
BOA,AZGBTER01R1,3800,0.233436891,0,1,1,0,0,0,0,0
BOA,AZGBTGD01E1,C3560,0.22353965,0,1,0,0,0,0,0,0
BOA,AZGBTGD01R1,3800,0.233436891,0,1,0,0,0,0,0,0
BOA,AZGBTGG01E1,C3560,0.22353965,0,1,0,0,0,0,0,0
BOA,AZGBTGG01R1,3800,0.233436891,0,1,0,0,0,0,0,0
BOA,AZGBTGR01E1,C3560,0.22353965,0,1,0,0,0,0,0,0
BOA,AZGBTGR01R1,3800,0.233436891,0,1,0,0,0,0,0,0
BOA,AZGBTWF01E1,C3560,0.22353965,0,1,0,0,0,0,0,0
BOA,AZGBTWF01R1,3800,0.233436891,0,1,0,0,0,0,0,0
BOA,AZGNDAT01R2,1800,0.177551157,0,1,0,0,0,0,0,0
BOA,AZGNDBD01R1,1800,0.177551157,0,1,0,0,0,0,0,0
BOA,AZGNDBR01E1,C3560,0.22353965,0,1,0,0,0,0,0,0
BOA,AZGNDBR01R1,3800,0.233436891,0,1,0,0,0,0,0,0
BOA,AZGNDGD01E1,C3560,0.22353965,0,1,0,0,0,0,0,0
BOA,AZGNDGD01E2,C3560,0.22353965,0,1,0,0,0,0,0,0
BOA,AZGNDNS01E1,C3560,0.22353965,0,1,0,0,0,0,0,0
BOA,AZGNDNS01R1,3800,0.233436891,0,1,0,0,0,0,0,0
BOA,AZGNDSB01E1,C3560,0.22353965,0,1,0,0,0,0,0,0
BOA,AZGNDSB01R1,3800,0.233436891,0,1,0,0,0,0,0,0
BOA,AZGNDSS01IDE01,C3560,0.22353965,0,1,0,0,0,0,0,0
BOA,AZGNDSS01IDE02,C3560,0.22353965,0,1,0,0,0,0,0,0
BOA,AZGNDSS01R01,3800,0.233436891,0,1,0,0,0,0,0,0
BOA,AZGNDTA01E1,C3560,0.22353965,0,1,0,0,0,0,0,0
BOA,AZGNDTA01R1,3800,0.233436891,0,1,0,0,0,0,0,0
BOA,AZGNDWB01E1,C3560,0.22353965,0,1,0,0,0,0,0,0
BOA,AZGNDWB01R1,3800,0.233436891,1,1,1,0,0,0,0,0
BOA,AZGNDWO01E1,C3560,0.22353965,0,1,0,0,0,0,0,0
BOA,AZGNDWO01R1,3800,0.233436891,0,1,0,0,0,0,0,0
BOA,AZGVYWC01E1,C3560,0.22353965,0,1,0,0,0,0,0,0
BOA,AZGVYWC01R1,3800,0.233436891,0,1,0,0,0,0,0,0
BOA,AZGYREP01E1,C3560,0.22353965,0,1,0,0,0,0,0,0
BOA,AZGYRGA01R1,1800,0.177551157,0,1,0,0,0,0,0,0
BOA,AZGYRSC01E1,C3560,0.22353965,0,1,0,0,0,0,0,0
BOA,AZGYRSC01R1,3800,0.233436891,0,1,0,0,0,0,0,0
BOA,AZHGYHR01E1,C3560,0.22353965,0,1,0,0,0,0,0,0
BOA,AZHGYHR01R1,3800,0.233436891,0,1,0,0,0,0,0,0
BOA,AZKGNSH01E1,C3560,0.22353965,0,1,0,0,0,0,0,0
BOA,AZKGNSH01R1,3800,0.233436891,0,1,0,0,0,0,0,0
